iter	Passed	Remaining
843	951	175
844	952	174
845	953	173
846	954	172
847	954	171
848	955	170
849	956	168
850	957	167
851	958	166
852	959	165
853	960	164
854	961	163
855	962	161
856	963	160
857	964	159
858	964	158
859	965	157
860	966	156
861	967	154
862	968	153
863	969	152
864	970	151
865	971	150
866	972	149
867	973	148
868	974	146
869	975	145
870	976	144
871	977	143
872	978	142
873	979	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	984	134
880	985	133
881	986	131
882	987	130
883	988	129
884	989	128
885	990	127
886	991	126
887	991	125
888	992	123
889	993	122
890	994	121
891	995	120
892	996	119
893	997	118
894	998	117
895	999	116
896	1000	114
897	1001	113
898	1002	112
899	1003	111
900	1004	110
901	1004	109
902	1005	108
903	1006	106
904	1007	105
905	1008	104
906	1009	103
907	1010	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1014	96
913	1015	95
914	1016	94
915	1017	93
916	1018	92
917	1019	91
918	1020	89
919	1021	88
920	1022	87
921	1023	86
922	1024	85
923	1024	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1029	78
929	1030	77
930	1031	76
931	1032	75
932	1032	74
933	1034	73
934	1034	71
935	1035	70
936	1036	69
937	1037	68
938	1038	67
939	1039	66
940	1039	65
941	1040	64
942	1041	62
943	1042	61
944	1043	60
945	1044	59
946	1045	58
947	1046	57
948	1047	56
949	1048	55
950	1049	54
951	1049	52
952	1050	51
953	1051	50
954	1052	49
955	1053	48
956	1054	47
957	1055	46
958	1056	45
959	1057	44
960	1058	42
961	1059	41
962	1060	40
963	1061	39
964	1062	38
965	1063	37
966	1063	36
967	1064	35
968	1065	34
969	1066	32
970	1067	31
971	1068	30
972	1069	29
973	1070	28
974	1071	27
975	1072	26
976	1073	25
977	1074	24
978	1075	23
979	1076	21
980	1077	20
981	1078	19
982	1079	18
983	1081	17
984	1081	16
985	1082	15
986	1083	14
987	1084	13
988	1086	12
989	1087	10
990	1088	9
991	1088	8
992	1090	7
993	1091	6
994	1092	5
995	1092	4
996	1094	3
997	1095	2
998	1096	1
999	1097	0
